COMUNA;CASOS;POBLACION;TASA;Fecha
Panguipulli;0;35991;0;30/03/2020
Panquehue;0;7633;0;30/03/2020
Papudo;0;6201;0;30/03/2020
Paredones;0;6349;0;30/03/2020
Parral;4;44544;9;30/03/2020
Pedro Aguirre Cerda;7;107803;6.5;30/03/2020
Pelarco;0;9083;0;30/03/2020
Pelluhue;0;8092;12.4;30/03/2020
Pemuco;0;8639;0;30/03/2020
Pencahue;0;8601;0;30/03/2020
Penco;0;49865;0;30/03/2020
Peñaflor;10;101058;9.9;30/03/2020
Peñalolén;31;266798;11.6;30/03/2020
Peralillo;0;11848;0;30/03/2020
Perquenco;0;7223;13.8;30/03/2020
Petorca;0;10558;0;30/03/2020
Peumo;0;14952;0;30/03/2020
Pica;0;5958;0;30/03/2020
Pichidegua;0;20743;0;30/03/2020
Pichilemu;0;17882;0;30/03/2020
Pinto;0;11880;8.4;30/03/2020
Pirque;0;30433;0;30/03/2020
Pitrufquén;4;26096;15.3;30/03/2020
Placilla;0;9164;0;30/03/2020
Portezuelo;0;4940;0;30/03/2020
Porvenir;0;7323;0;30/03/2020
Pozo Almonte;0;17395;0;30/03/2020
Primavera;0;694;0;30/03/2020
Providencia;82;157749;52;30/03/2020
Puchuncaví;0;20071;0;30/03/2020
Pucón;0;29782;10.1;30/03/2020
Pudahuel;17;253139;6.7;30/03/2020
Puente Alto;45;645909;7;30/03/2020
Puerto Montt;34;269398;12.6;30/03/2020
Puerto Octay;0;9192;10.9;30/03/2020
Puerto Varas;0;48620;2.1;30/03/2020
Pumanque;0;3531;0;30/03/2020
Punitaqui;0;12165;0;30/03/2020
Punta Arenas;29;141984;20.4;30/03/2020
Puqueldón;0;4201;0;30/03/2020
Purén;0;12188;0;30/03/2020
Purranque;0;21080;0;30/03/2020
Putaendo;0;17645;5.7;30/03/2020
Putre;0;2515;0;30/03/2020
Puyehue;0;11787;8.5;30/03/2020
Queilén;0;5543;0;30/03/2020
Quellón;0;29309;0;30/03/2020
Quemchi;0;8783;0;30/03/2020
Quilaco;0;4179;0;30/03/2020
Quilicura;17;254694;6.7;30/03/2020
Quilleco;0;10032;0;30/03/2020
Quillón;4;18777;21.3;30/03/2020
Quillota;6;97572;6.1;30/03/2020
Quilpué;11;167085;6.6;30/03/2020
Quinchao;0;8298;12.1;30/03/2020
Quinta de Tilcoco;0;13877;7.2;30/03/2020
Quinta Normal;21;136368;15.4;30/03/2020
Quintero;0;36135;8.3;30/03/2020
Quirihue;0;12192;0;30/03/2020
Rancagua;7;265211;2.6;30/03/2020
Ránquil;0;6261;0;30/03/2020
Rauco;0;11248;0;30/03/2020
Recoleta;17;190075;8.9;30/03/2020
Renaico;0;10833;0;30/03/2020
Renca;9;160847;5.6;30/03/2020
Rengo;0;63710;1.6;30/03/2020
Requínoa;0;30371;6.6;30/03/2020
Retiro;0;21071;0;30/03/2020
Rinconada;0;11263;0;30/03/2020
Río Bueno;0;32925;6.1;30/03/2020
Río Claro;0;14753;6.8;30/03/2020
Río Hurtado;0;4372;22.9;30/03/2020
Río Ibáñez;0;2699;0;30/03/2020
Río Negro;0;14275;0;30/03/2020
Río Verde;0;211;0;30/03/2020
Romeral;0;16170;6.2;30/03/2020
Saavedra;0;12793;0;30/03/2020
Sagrada Familia;0;19469;0;30/03/2020
Salamanca;0;29110;6.9;30/03/2020
San Antonio;0;96761;2.1;30/03/2020
San Bernardo;32;334836;9.6;30/03/2020
San Carlos;8;56252;14.2;30/03/2020
San Clemente;0;46292;0;30/03/2020
San Esteban;0;20643;0;30/03/2020
San Fabián;0;4654;64.5;30/03/2020
San Felipe;0;83494;3.6;30/03/2020
San Fernando;0;78642;2.5;30/03/2020
San Gregorio;0;681;0;30/03/2020
San Ignacio;0;16624;6;30/03/2020
San Javier;0;49451;0;30/03/2020
San Joaquín;13;103485;12.6;30/03/2020
San José de Maipo;0;18644;10.7;30/03/2020
San Juan de la Costa;0;7639;0;30/03/2020
San Miguel;25;133059;18.8;30/03/2020
San Nicolás;0;12172;8.2;30/03/2020
San Pablo;0;10553;9.5;30/03/2020
San Pedro;0;11953;0;30/03/2020
San Pedro de Atacama;0;10434;9.6;30/03/2020
San Pedro de la Paz;18;145906;12.3;30/03/2020
San Rafael;0;9959;0;30/03/2020
San Ramón;0;86510;1.2;30/03/2020
San Rosendo;0;3611;0;30/03/2020
San Vicente;0;50617;0;30/03/2020
Santa Bárbara;0;14592;6.9;30/03/2020
Santa Cruz;0;41096;0;30/03/2020
Santa Juana;0;14779;0;30/03/2020
Santa María;0;16367;0;30/03/2020
Santiago;127;503147;25.2;30/03/2020
Santo Domingo;0;11934;16.8;30/03/2020
Sierra Gorda;0;1746;0;30/03/2020
Talagante;0;81838;3.7;30/03/2020
Talca;34;236724;14.4;30/03/2020
Talcahuano;0;158345;1.3;30/03/2020
Taltal;0;13657;0;30/03/2020
Temuco;154;302931;50.8;30/03/2020
Teno;0;30850;0;30/03/2020
Teodoro Schmidt;0;15786;0;30/03/2020
Tierra Amarilla;0;14312;0;30/03/2020
Tiltil;0;21477;9.3;30/03/2020
Timaukel;0;282;0;30/03/2020
Tirúa;0;11019;0;30/03/2020
Tocopilla;0;28079;7.1;30/03/2020
Toltén;0;10055;9.9;30/03/2020
Tomé;4;58729;6.8;30/03/2020
Torres del Paine;0;1021;0;30/03/2020
Tortel;0;572;0;30/03/2020
Traiguén;0;19314;0;30/03/2020
Treguaco;0;5696;0;30/03/2020
Tucapel;0;15205;0;30/03/2020
Valdivia;12;176774;6.8;30/03/2020
Vallenar;0;57009;0;30/03/2020
Valparaíso;16;315732;5.1;30/03/2020
Vichuquén;0;4381;0;30/03/2020
Victoria;5;35467;14.1;30/03/2020
Vicuña;0;29741;0;30/03/2020
Vilcún;4;30766;13;30/03/2020
Villa Alegre;0;17512;0;30/03/2020
Villa Alemana;6;139310;4.3;30/03/2020
Villarrica;0;59103;1.7;30/03/2020
Viña del Mar;29;361371;8;30/03/2020
Vitacura;83;96774;85.8;30/03/2020
Yerbas Buenas;0;19200;0;30/03/2020
Yumbel;5;22132;22.6;30/03/2020
Yungay;0;18596;5.4;30/03/2020
Zapallar;0;7994;0;30/03/2020
